"Feature"	"Gain"	"Cover"	"Frequency"
"142"	"Master_fechaalta__tend"	0.000673449385708004	0.00736642238480793	0.00485983941400197
"143"	"Master_mlimitecompra__tend"	0.000670894289284634	0.00271540658503487	0.00345119030849415
"144"	"ctarjeta_debito_transacciones__tend"	0.000670345062754018	0.000254281815736963	0.0030990280321172
"145"	"Visa_msaldopesos__min"	0.00065330431195922	0.000432683026859515	0.00274686575574024
"146"	"Master_Fvencimiento__max"	0.000652521520978134	0.00161682016811008	0.00415551486124806
"147"	"Master_Fvencimiento__min"	0.000647851087841664	0.000428271220791329	0.00408508240597267
"148"	"mcaja_ahorro_dolares"	0.00064172960218683	0.00450042252935147	0.00246513593463868
"149"	"Master_tconsumos__tend"	0.000639720427612327	0.000439329076219834	0.00302859557684181
"150"	"tcallcenter__tend"	0.00063786540662872	0.00583679349755062	0.00373292012959572
"151"	"Master_fechaalta"	0.00063760244797738	0.00425281841572428	0.0038737850401465
"152"	"Visa_mpagospesos__min"	0.00063225457778384	0.000392372445640232	0.00323989294266798
"153"	"mcaja_ahorro_Nopaquete__max"	0.000630273695903064	0.00332838923844256	0.00176081138188477
"154"	"Visa_mconsumosdolares"	0.000626827577168727	0.000468005308110234	0.00323989294266798
"155"	"Master_Finiciomora__max"	0.000625372952401287	0.000558916885815636	0.00190167629243555
"156"	"mcomisiones"	0.000622606257217795	0.00100353909410192	0.00295816312156642
"157"	"mcajeros_ajenos__tend"	0.000622246733974576	0.000231967969045162	0.0023242710240879
"158"	"tcaja_ahorro__max"	0.000620138256620394	0.000474822796989283	0.0015495140160586
"159"	"mcajeros_propio__tend"	0.000619677972116995	0.00160575010904356	0.00274686575574024
"160"	"Master_msaldototal"	0.000615842864624818	0.00383442397236178	0.00225383856881251
"161"	"Visa_mconsumospesos"	0.000614619741365242	0.000351666801431218	0.00295816312156642
"162"	"cliente_antiguedad__min"	0.000612621876729515	0.00303200508622255	0.00338075785321876
"163"	"Visa_tconsumos__max"	0.000610560072166407	0.000287374951560505	0.00274686575574024
"164"	"Master_msaldototal__tend"	0.000605544504826444	0.00229784303497054	0.0023242710240879
"165"	"tcaja_ahorro__tend"	0.000602915453368622	0.00280402880948863	0.00176081138188477
"166"	"Visa_mconsumospesos__tend"	0.000599044775462508	0.000265584237527122	0.00345119030849415
"167"	"Master_Finiciomora__tend"	0.000593008177226597	0.000330259655479907	0.00147908156078321
"168"	"Master_mfinanciacion_limite"	0.000592258169033885	0.00850041819596936	0.00267643330046485
"169"	"tseguro_vida_mercado_abierto__min"	0.000588072822673114	0.000221444719278064	0.000845189463304691
"170"	"tcallcenter"	0.000580349023838201	0.00105950961493673	0.000563459642203127
"171"	"mprestamos_prendarios"	0.000573657893693489	0.00917772949381183	0.00161994647133399
"172"	"mcajeros_propio"	0.000570789145348343	0.000119183291848065	0.00176081138188477
"173"	"ctarjeta_master_transacciones__tend"	0.000567373620679201	0.00246847620840757	0.00225383856881251
"174"	"Visa_mlimitecompra__min"	0.000566551894809331	0.00146716458124617	0.00267643330046485
"175"	"mcheques_emitidos_rechazados__tend"	0.000564039393454583	0.00342157202282115	0.00190167629243555
"176"	"mcheques_emitidos_rechazados__max"	0.00056224210676761	0.00234218016317417	0.00183124383716016
"177"	"mplazo_fijo_dolares"	0.000557202349085751	0.00733290188148286	0.00204254120298634
"178"	"Visa_msaldototal__max"	0.000553742467584516	0.000157310938213293	0.00197210874771095
"179"	"mpagomiscuentas__tend"	0.000549440613747137	0.00187917291411841	0.00260600084518946
"180"	"mextraccion_autoservicio__max"	0.000537917423583188	0.000381389479331697	0.0023242710240879
"181"	"Master_mpagominimo__max"	0.000537421146703109	0.000378522142901347	0.00161994647133399
"182"	"ctarjeta_master_transacciones"	0.000536117999791006	0.00171581069995667	0.00183124383716016
"183"	"Visa_mlimitecompra__max"	0.000531666292591814	0.00021195734818203	0.00183124383716016
"184"	"Visa_Fvencimiento__min"	0.000530111898429782	0.000550139494191993	0.00302859557684181
"185"	"Master_mfinanciacion_limite__min"	0.000522614866010579	0.00162722357053059	0.00211297365826173
"186"	"Master_mfinanciacion_limite__tend"	0.000517496145414397	0.000208616190685995	0.00267643330046485
"187"	"mcuenta_debitos_automaticos__min"	0.000516374387532763	0.00439021685485156	0.00176081138188477
"188"	"tcajas__min"	0.000515886308136386	2.9475598995026e-05	0.000633892097478518
"189"	"ccomisiones_mantenimiento"	0.000514850173242901	0.00524143291105525	0.00161994647133399
"190"	"Master_mlimitecompra__min"	0.000507897124833895	0.000367779181200033	0.0015495140160586
"191"	"mcuenta_debitos_automaticos__max"	0.000507419699142667	0.00050722372070055	0.00225383856881251
"192"	"mcomisiones_otras"	0.000501431916090727	0.00143130467508764	0.00260600084518946
"193"	"mcambio_monedas_venta__tend"	0.000499563987482912	0.00519275115081617	0.00246513593463868
"194"	"mtransferencias_emitidas__max"	0.000494469477143095	0.00258464944117903	0.00211297365826173
"195"	"ttitulos__tend"	0.000491811552721854	0.00578772469743853	0.00133821665023243
"196"	"ctarjeta_visa_transacciones__max"	0.000490646637412337	0.00115945922594316	0.00204254120298634
"197"	"Visa_msaldopesos__max"	0.000490643226563878	0.000389266195673909	0.00169037892660938
"198"	"cprestamos_personales__max"	0.000488024091435636	0.00118475968049914	0.00176081138188477
"199"	"Master_fechaalta__min"	0.000483293415973544	0.000681711425302644	0.0023242710240879
"200"	"ccajeros_ajenos_transacciones__tend"	0.000482005638684959	0.000403242163873936	0.00239470347936329
"201"	"Master_msaldopesos__tend"	0.00047624243475275	0.00023003756246228	0.00225383856881251
"202"	"Visa_mconsumospesos__max"	0.000467855309135052	0.000159100416158745	0.00267643330046485
"203"	"mextraccion_autoservicio"	0.000467845340371398	0.000466510526179265	0.00197210874771095
"204"	"mautoservicio__max"	0.000463605374276017	0.000144034066685535	0.00246513593463868
"205"	"Master_msaldopesos__max"	0.000462427767970857	0.000480046428220386	0.00133821665023243
"206"	"mtarjeta_visa_descuentos"	0.000458982936498913	0.00941859435102984	0.00197210874771095
"207"	"Visa_mconsumospesos__min"	0.000456724497001478	0.000864844268469839	0.0023242710240879
"208"	"Visa_mpagominimo__min"	0.000454230267142728	0.00349525400537221	0.00211297365826173
"209"	"cliente_antiguedad"	0.000454164758681923	0.000194651703770186	0.00274686575574024
"210"	"tcajas_depositos__tend"	0.000449914628304443	0.000756633182265134	0.00246513593463868
"211"	"Master_msaldopesos"	0.000448747263923025	0.00173034762971807	0.00161994647133399
"212"	"cliente_antiguedad__max"	0.000447979728382995	0.000906174646921312	0.00260600084518946
"213"	"Visa_mconsumosdolares__tend"	0.00044797605679137	0.00254010721141249	0.00281729821101564
"214"	"Master_fultimo_cierre"	0.000445256974439804	0.000812584300306434	0.00211297365826173
"215"	"mcaja_ahorro_Nopaquete"	0.000445020610752526	0.00355134999936747	0.00183124383716016
"216"	"Visa_Fvencimiento__tend"	0.000441149998655555	0.000275691226097764	0.00225383856881251
"217"	"Visa_mfinanciacion_limite__tend"	0.000439817962125381	0.000150216009744003	0.00211297365826173
"218"	"Master_mpagominimo__tend"	0.000439554326047017	0.000911248934328541	0.00126778419495704
"219"	"mcomisiones_otras__max"	0.000438665259678781	0.000163874221076361	0.00211297365826173
"220"	"mtarjeta_visa_consumo__min"	0.000437160426282019	0.0003185977728027	0.00140864910550782
"221"	"Master_mconsumospesos"	0.000437103986758864	0.00110831258027324	0.00147908156078321
"222"	"mcheques_depositados_rechazados"	0.000435979537270488	0.00309939041582557	0.00126778419495704
"223"	"ccomisiones_otras__min"	0.000435876381824721	0.000111822738425504	0.00197210874771095
"224"	"cliente_edad__max"	0.000433557805790991	0.00145516649091513	0.00225383856881251
"225"	"tcajas_depositos__max"	0.000428742134668813	0.000340257722592876	0.00211297365826173
"226"	"ccajeros_propio_transacciones__tend"	0.000428689755270476	0.000683215665300675	0.0023242710240879
"227"	"mcaja_ahorro_dolares__tend"	0.000428497193855535	0.0035165519951892	0.00197210874771095
"228"	"Master_fechaalta__max"	0.000428067519181541	0.000661852501438384	0.00197210874771095
"229"	"Visa_mpagosdolares__max"	0.000425562954630969	0.000615126913779461	0.00239470347936329
"230"	"ccallcenter_transacciones__max"	0.000423125893026491	0.000139372880966126	0.00246513593463868
"231"	"Visa_Finiciomora__min"	0.000422544981782184	0.000398584436739432	0.00147908156078321
"232"	"ctarjeta_visa_descuentos__max"	0.000416948649945073	0.000952767918782818	0.00140864910550782
"233"	"mprestamos_hipotecarios"	0.000413567507027584	0.0124066578570697	0.00161994647133399
"234"	"ccomisiones_otras"	0.000405653286650681	0.000239465141762118	0.00253556838991407
"235"	"Visa_mlimitecompra__tend"	0.000404297423790212	0.000289104695299438	0.00183124383716016
"236"	"Visa_mconsumosdolares__max"	0.000403206499036751	0.000131567549926313	0.00239470347936329
"237"	"mtarjeta_visa_descuentos__tend"	0.00040150554251573	0.00263697223757982	0.00211297365826173
"238"	"Visa_msaldodolares__tend"	0.000397467393175712	0.00238729196602001	0.00176081138188477
"239"	"ccambio_monedas_venta__tend"	0.000397072680145272	0.000342238341568641	0.00190167629243555
"240"	"tcajas__tend"	0.000392157197956664	0.000115047741204174	0.0023242710240879
"241"	"ctarjeta_debito_transacciones__max"	0.0003896512873468	0.00023966782825543	0.00204254120298634
"242"	"ttarjeta_master__min"	0.000388497334405166	5.66232454680621e-05	0.000281729821101564
"243"	"thomebanking__tend"	0.00038820917440573	0.000423430830092387	0.00197210874771095
"244"	"Master_mpagospesos__min"	0.000387532770479593	0.000234677609453925	0.00253556838991407
"245"	"tpagomiscuentas"	0.00038660099735273	0.00333905736041346	0.00112691928440625
"246"	"ccheques_emitidos__tend"	0.000378016571461831	0.00218547880382275	0.0015495140160586
"247"	"cprestamos_personales__min"	0.000375480838719838	0.000804641199561155	0.00133821665023243
"248"	"tpagodeservicios__tend"	0.000372131747279676	0.00049908570563975	0.00161994647133399
"249"	"mtarjeta_visa_consumo__max"	0.000366580324020636	0.000361466284685874	0.00183124383716016
"250"	"tfondos_comunes_inversion"	0.000365475102162364	0.00879099218576901	0.00126778419495704
"251"	"Visa_mpagado__tend"	0.000363922586917526	0.00170743560032668	0.00204254120298634
"252"	"ttarjeta_visa_debitos_automaticos__max"	0.000360174469003364	0.00114128676468889	0.00133821665023243
"253"	"cextraccion_autoservicio"	0.000357012114793332	0.000341920533844864	0.000915621918580082
"254"	"ctarjeta_debito_transacciones"	0.000351003776946841	0.000602216108123357	0.00169037892660938
"255"	"mcheques_depositados_rechazados__max"	0.000349542138511729	0.00201550726075881	0.00140864910550782
"256"	"mcomisiones__min"	0.000343885092505029	0.00010088744712059	0.00197210874771095
"257"	"Visa_mpagado"	0.000341315169554248	0.000276895145912815	0.00126778419495704
"258"	"mpasivos_margen__max"	0.000341118687744801	5.0706180125715e-05	0.00183124383716016
"259"	"Master_mconsumospesos__max"	0.000337036830307418	5.9780399441585e-05	0.00133821665023243
"260"	"Master_mpagospesos__max"	0.000335893624570217	0.00018028317459374	0.00161994647133399
"261"	"mpagodeservicios__tend"	0.000334949879317057	0.000166652793875437	0.00204254120298634
"262"	"tcajas_extracciones__tend"	0.00033203687689289	0.000282908182480655	0.00218340611353712
"263"	"ctransferencias_emitidas__tend"	0.000326927121691856	0.000191757538804166	0.00218340611353712
"264"	"mautoservicio__tend"	0.000322050740310675	0.000177841810577795	0.00197210874771095
"265"	"Master_msaldototal__max"	0.000318230831230678	0.00028117553400801	0.00133821665023243
"266"	"ccajeros_propio_transacciones__max"	0.000314594638022881	9.72610292544074e-05	0.00204254120298634
"267"	"mcajeros_ajenos__max"	0.000313732968079538	0.00278388461590432	0.0015495140160586
"268"	"mcaja_ahorro_Nopaquete__tend"	0.000311406980666983	0.000583426641651095	0.00133821665023243
"269"	"Master_marca_atraso__max"	0.00031050658254979	0.000144611743911718	0.000422594731652345
"270"	"Visa_fultimo_cierre__max"	0.000310426161371619	0.000226492901111472	0.00197210874771095
"271"	"mcheques_depositados__max"	0.00030924103604633	0.00301392486244379	0.00169037892660938
"272"	"chomebanking_transacciones__min"	0.000308926805676102	7.14431423772165e-05	0.00161994647133399
"273"	"tcajas_otras__max"	0.000305082703405223	0.000153661569070559	0.00169037892660938
"274"	"Visa_mconsumototal"	0.000301396507408706	0.000282966900943311	0.00133821665023243
"275"	"Visa_mpagado__max"	0.000290600317989474	0.000246987559356933	0.00133821665023243
"276"	"Master_mlimitecompra"	0.000290159164113887	0.00031222776641619	0.0015495140160586
"277"	"tcajas_otras__tend"	0.000283074105211539	0.000167279748854222	0.00183124383716016
"278"	"mcajeros_propio__max"	0.000281760528258385	0.00065750240013729	0.00161994647133399
"279"	"mtransferencias_emitidas"	0.000281534513264396	0.00084799322469955	0.00147908156078321
"280"	"mtitulos"	0.000281044521633664	0.00813022197964046	0.00119735173968165
"281"	"Visa_msaldodolares__max"	0.000275812985023636	0.00170441949627888	0.00169037892660938
"282"	"cextraccion_autoservicio__tend"	0.000272120360265512	8.20754823017504e-05	0.00161994647133399
"283"	"tcajas_consultas__max"	0.000271480219009552	0.000357642687195332	0.00169037892660938
"284"	"cextraccion_autoservicio__max"	0.000270885231719551	0.000124058653516109	0.00161994647133399
"285"	"mpagomiscuentas__max"	0.000268174208975111	0.000171388604221128	0.00133821665023243
